item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1010,tt0480249,I Am Legend,2007,2015,101,PG-13,7.2,646524,1496,338,150000000,256393010,585349010,USA,WB,Francis Lawrence,Adventure,Drama,Sci-Fi,Will Smith,Alice Braga,Charlie Tahan,2295,10,1,4500.0,6606000.0,5815.0,3520.0
I-1047,tt2322441,Fifty Shades of Grey,2015,2016,125,R,4.1,284182,1502,395,40000000,166167230,569651467,USA,Universal,Sam Taylor-Johnso,Drama,Romance,Thriller,Dakota Johnson,Jamie Dornan,Jennifer Ehle,2295,10,1,4500.0,6601500.0,5811.0,3516.0
I-1081,tt3470600,Sing,2016,2017,108,PG,7.1,120905,253,234,75000000,270395425,634151679,Jap,Universal,Garth Jennings,Animation,Comedy,Family,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,2295,10,1,4500.0,6574500.0,5787.0,3492.0
I-1070,tt2975590,Batman v Superman: Dawn of Justice,2016,2017,151,PG-13,6.5,590084,3556,787,250000000,330360194,873634919,USA,WB,Zack Snyder,Action,Adventure,Sci-Fi,Ben Affleck,Henry Cavill,Amy Adams,2295,10,1,4500.0,6547500.0,5764.0,3469.0
I-1079,tt1679335,Trolls,2016,2017,92,PG,6.5,64914,178,180,125000000,153707064,346864462,USA,Fox,Mike Mitchell,Animation,Adventure,Comedy,Anna Kendrick,Justin Timberlake,Zooey Deschanel,2195,6,1,4500.0,6421500.0,5653.0,3458.0
I-1065,tt1979388,The Good Dinosaur,2015,2016,93,PG,6.7,93805,443,331,200000000,123087120,332207671,USA,BUENA VISTA,Peter Sohn,Animation,Adventure,Comedy,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,2295,10,1,5500.0,6534000.0,5752.0,3457.0
I-1082,tt4846340,Hidden Figures,2016,2017,127,PG,7.8,177833,451,418,25000000,169607287,235956898,USA,Fox,Theodore Melfi,Biography,Drama,History,Taraji P. Henson,Octavia Spencer,Janelle Mon��e,2600,6,10,4500.0,6826500.0,6009.0,3409.0
I-1055,tt2293640,Minions,2015,2016,91,PG,6.4,198975,340,333,74000000,336045770,1159398397,USA,Universal,Kyle Balda,Animation,Adventure,Comedy,Sandra Bullock,Jon Hamm,Michael Keaton,2295,10,1,4500.0,6466500.0,5692.0,3397.0
I-1091,tt3501632,Thor: Ragnarok,2017,2018,130,PG-13,7.9,518571,1464,509,180000000,315058289,853977126,USA,BUENA VISTA,Taika Waititi,Action,Adventure,Comedy,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,2700,10,10,5500.0,6781500.0,5970.0,3270.0
I-1006,tt0413267,Shrek the Third,2007,2015,93,PG,6.0,262467,348,227,160000000,322719944,804438141,USA,P/DW,Chris Miller,Animation,Adventure,Comedy,Mike Myers,Eddie Murphy,Cameron Diaz,2145,4,1,5000.0,6145000.0,5409.0,3264.0
