imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt3293594,The Man in the Trunk,The Man in the Trunk,2019,2019-11-29,"Crime, Drama, Horror",84,USA,English,Marc Hampson,"Aaron Fairley, Marc Hampson",Brotherhood Pictures,"Ace Marrero, Erik Bogh, Vanessa Reynolds, Ryan Schwartzman, Kait Bradley, Robert Flaherty Hart, Cassie Self, Kris Pruett, Whitney Masters, Zach Stolz, Kyle Whisner, Lindsey McCollough, Jennica Schwartzman, Mark Landon Smith, Ross Butler","A late night knock at the door from an absent friend brings the question - ""I need you to come with me, but I can't tell you where we're going or what we're going to do."" How far would you go to help those you care about?",5.3,583,"$10,000 ",,,,15,
tt8710832,Space,Space,2020,2020-03-31,"Horror, Sci-Fi",93,USA,English,Monte Light,"Cooper Holmes, Monte Light",American Courtyard Productions,"Len Kabasinski, Lara Jean Sullivan, Kat Sheridan, Ellysa Rose, Michael Klug, Quincy Saadeh, Justin Michael Terry, Kurt Quinn, Ria Gaudioso, Jim Hilton","In the year 2050, Dr. Ada Gray and her fellow astronauts aboard The Udo fight for survival after an accident leaves them stranded in deep space.",1.7,244,"$11,000 ",,,,4,6
tt10319676,Termination,Termination,2019,2019-08-11,"Action, Horror, Sci-Fi",95,USA,English,Alice Nicolini,Alice Nicolini,Cloud Walkers Entertainment,"Drake Dalgleish, Bekka Prewitt, Brianna Ripkowski","A faulty prototype of man-engineered human, whose systematic flaw causes her to kill people when she loses control, has to convince her reluctant Creator to terminate her.",2.6,106,"$15,000 ",,,,7,
tt9540232,Anna 2,Anna 2,2019,2019-07-08,Horror,97,USA,English,Michael Crum,Gerald Crum,MGI Films,"Justin Duncan, Gerald Crum, Mercedes Peterson, John Charles Dickson, Daniel Frank, Kenzie Pallone, Shanon Snedden, Vandi Clark, Cole Thomas Crum, James D. Pruitt, Mark E. Howell, Megan Yarbrough, Toben Row, Michael Cavazos","Starring Justin Duncan, Gerald Crum, Mercedes Peterson and John Charles Dickson. The Stars of two competing and colliding paranormal television shows converge on an abandoned haunted ...",2.6,105,"$15,000 ",,,,5,7
tt10214826,Agent Sai Srinivasa Athreya,Agent Sai Srinivasa Athreya,2019,2019-05-31,"Action, Comedy, Crime",148,India,Telugu,Swaroop Rsj,"Swaroop Rsj, Swaroop Rsj",Swadharm Entertainment,"Naveen Polishetty, Shruti Sharma, Shredha Rajagopalan, Darbha Appaji Ambarisha, Suhas, Ramdutt, Krishneswara Rao, Viswanath, Chanakya Tejas, Manikanta Varanasi, Abhilash, Anunya, Bala, Baswa, Chakri",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,8.5,5585,"$20,000 ",,"$4,454 ",,96,2
tt10613572,Space Ninjas,Space Ninjas,2019,2019-01-20,Comedy,91,UK,English,Scott McQuaid,Scott McQuaid,,"Amirul Afiq Bin Amri, Miles Amundsen, Dirk Benedict, Jon T. Benn, Ed Chard, Razif Hashim, Godfrey Ho, Yi Jane, Nuha Jes, Jay Mago, Sudhab Nair, Brian Narelle, Mia Sara Shauki, Savira Sigit, Bryan Tiang",Detention becomes survival for five students trapped in a high school with Space Ninja assassins. This B movie comedy slash horror follows these misfit heroes trying to survive the night from an alien invasion.,3.7,101,"$20,000 ",,,,8,8
tt10772304,Texas Death Trippin',Texas Death Trippin',2019,2019-12-01,"Comedy, Horror",62,USA,English,Robbie Lopez,Robbie Lopez,Crude Cinema,"Daisy Coleman, Cody Calderas, Bryan Slusher, Bartlett Benjamin, Jeffrey Homan, Paul Brune, Dakota Danger, Melesa Murphy, George Wang",A group of young adult stoners set out on a Roadtrip to a three day music festival.,2.3,101,"$20,000 ",,,,39,
tt9773532,Siempre sí,Siempre Sí,2019,2020-06-26,Drama,104,"Chile, Mexico",Spanish,Alberto Fuguet,Alberto Fuguet,Cinepata,"Gerardo Torres Rodríguez, Pavel Akindog, Anty de la Vega, Lalo Santos, Irvin Morlag, Franco Ruiz, Andrés Sánchez, Effy Oropeza, Christo Cansio","Héctor travels from Hermosillo to Mexico City with the hope of posing naked for photography collective Feral. His friend Carlos chose not to go with him, and Héctor, determined to ...",6.3,285,"$20,000 ",,,,,2
tt8200742,Silhouette,Silhouette,2019,2019-01-28,"Drama, Horror, Thriller",114,USA,English,Mitch McLeod,Mitch McLeod,Absentia Pictures,"April Hartman, Tom Zembrod, Jessica Dawn Willis, Savannah Solsbery, Kim Foster, Suzanne Racz, Natalie Jones, Deward Lynn Lawrence, John Frederick","Silhouette is the story of Jack and Amanda Harms who, after the passing of their young daughter, set out into seclusion to begin their lives anew. Quickly upon their arrival, things go awry...",5.5,1226,"$25,000 ",,,,46,40
tt11685574,Shifter,Shifter,2020,2020-03-06,"Horror, Sci-Fi, Thriller",85,USA,English,Jacob Leighton Burns,"Jacob Leighton Burns, Jacob Leighton Burns",Planet Thunder Productions,"Nicole Fancher, Ashley Mandanas, Jamie Brewster, Leesa Neidel, Stephen Goodman, Paul T. Taylor, Ben Hall, Jacob Ryan Snovel, Derrico Thomas, Katy Atkinson, Rick Holmes, Cora Martin, Heather Siess, Clint Joseph, Ella Perdue",A young woman experiences painful and gruesome side effects after an experiment with time travel goes wrong.,3.3,203,"$30,000 ",,,,20,5
